solution_id,DESIGNATION,SOURCE_ID,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_nb_transits,rv_nb_deblended_transits,rv_visibility_periods_used,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,rv_time_duration,rv_amplitude_robust,rv_template_teff,rv_template_logg,rv_template_fe_h,rv_atm_param_origin,vbroad,vbroad_error,vbroad_nb_transits,grvs_mag,grvs_mag_error,grvs_mag_nb_transits,rvs_spec_sig_to_noise,phot_variable_flag,l,b,ecl_lon,ecl_lat,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,libname_gspphot
1636148068921376768,Gaia DR3 3421660600590138112,3421660600590138112,1643720958,2016.0,77.87755408105068,0.3679716,26.64722307880685,0.24385245,20.00076316080918,0.40465668,49.4265,54.39232,-8.69683400706404,0.5218064,-53.69254378825999,0.32844114,0.0037629139,0.14140244,-0.055095155,0.14344229,-0.15701532,0.11528266,-0.45831132,0.104752414,0.2207138,-0.025778627,331,0,330,1,2.4044871,471.43185,1.7034583,4.7436447,95,False,,1.0461161,0.07955183,-0.06667232,-0.17381407,-0.03712341,0.08535612,0.047501296,38,18,0.7229872,39,20,0,0.015278065,24.024267,0,0,1.0948684,0.2058061,0.5039416,0.30783558,0.19935827,-166.13055,-2.9585433,58.52496,41.418213,False,328,292.7244781791793,1.0036831,291.6503,19.52122,18,39.8141139921379,7.265449,5.4799247,21.33845,31,521.3099339642628,9.196711,56.68439,17.955156,1.9169017,0,0,0,2,0,3.3832932,1.8172302,1.5660629,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,177.7427452453779,-7.552855652115476,79.15922894273957,3.6629942828801516,False,False,0,True,False,False,False,False,False,False,False,1.02045366e-13,5.097114e-13,0.99999774,,,,,,,,,,,,,,,,,,,,,,
1636148068921376768,Gaia DR3 644873877612476032,644873877612476032,265182472,2016.0,144.17676049919996,0.019827912,24.305451169614592,0.020790951,20.002421113740073,0.017914215,1116.567,102.929955,-43.924911327198906,0.019987501,93.08693704370671,0.022932202,-0.8092222,-0.31407666,-0.5892849,0.74613285,0.30204913,0.60547405,-0.92514247,0.4181291,-0.25698036,-0.62382627,460,460,448,12,-1.5108147,761.94434,0.0648912,5.9309225,31,True,1.5038186,,,,,,,,52,17,0.04559571,58,37,0,0.0074320617,3.4326837,0,0,0.9489355,,,,,,,,,False,489,2763407.201437902,662.1831,4173.177,9.583755,56,1331850.3925914778,1135.462,1172.959,10.027404,56,2041528.1083861,1073.5043,1901.742,8.973007,1.2207316,0,0,0,0,0,1.0543966,0.4436493,0.61074734,4.119608,0.17330143,1,25,6,13,178.6082,0.9996395,0.024021288,719.1713,2.309597,5000.0,4.5,-0.25,222,8.005658,2.0543365,16,8.736455,0.005194524,16,,NOT_AVAILABLE,205.28094833839484,46.31903546026642,138.52856201149234,9.523887888002715,False,False,0,True,True,False,False,False,False,True,False,1.3750302e-13,6.868207e-13,0.99648726,,,,,,,,,,,,,,,,,,,,,,
1636148068921376768,Gaia DR3 3313346408763839488,3313346408763839488,1515782844,2016.0,67.80201539742441,0.05490132,17.161322981312146,0.029810233,20.008532547772884,0.06850339,292.08093,109.06181,64.47501924930121,0.0757607,-87.9627810550844,0.047334716,0.33203658,-0.06571281,-0.14921845,0.20535494,-0.04871099,0.0523453,0.3571185,0.4575675,-0.10521285,0.06936506,357,0,353,4,0.7306663,524.8735,0.24285336,5.6055956,31,False,1.1970054,,,,,,,,41,18,0.10793,42,15,0,0.023644844,136.82526,0,0,1.0268568,0.3628326,0.6078873,0.32665426,0.1605074,173.6789,-12.610854,50.137096,-35.27463,False,353,7654.170210881513,5.976133,1280.7898,15.977622,37,673.9040107019425,11.218324,60.07172,18.267048,35,11368.13237949665,20.628973,551.07605,14.608673,1.5732647,0,4,0,1,0,3.6583748,2.2894258,1.3689489,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,179.67834757699688,-20.726228944542058,68.76570262210598,-4.656559702147565,False,False,0,True,False,False,False,False,False,True,False,1.0204734e-13,5.097213e-13,0.99999756,,,,,,,,,,,,,,,,,,,,,,
1636148068921376768,Gaia DR3 3291649436573851008,3291649436573851008,1454166227,2016.0,75.78294770656036,0.035874244,10.175061379843907,0.023831936,20.011905865006625,0.042179827,474.4426,73.240265,-60.35229712977061,0.046773713,41.49381587686651,0.035224356,-0.03543138,0.14351764,-0.11565986,0.17869182,-0.23299123,0.094232075,-0.25034288,0.13840602,0.266456,0.030555429,243,9,243,0,1.8391016,330.3767,0.12522686,2.4758072,31,False,1.2249557,,,,,,,,28,17,0.065045275,28,11,0,0.021466238,4.521249,0,0,1.0840294,,,,,,,,,False,241,14132.7265442188,17.19233,822.03674,15.311802,25,1803.2059327535208,19.996454,90.176285,17.19843,22,19704.49238507776,51.160374,385.15146,14.011482,1.5218364,0,1,0,0,0,3.1869469,1.8866272,1.3003197,42.47063,4.6063304,2,8,3,7,3.0376315,,,830.8807,,3600.0,4.5,0.5,101,,,,13.491216,0.09833692,7,,NOT_AVAILABLE,190.51580906232536,-18.552974505629923,75.66096042942155,-12.559337952801611,False,False,0,True,False,False,False,False,True,True,False,1.02804375e-13,5.1350265e-13,0.9999226,3050.9014,3049.2922,3052.5215,5.0047,4.9972,5.0057,0.0254,0.0217,0.0466,50.1996,49.9915,51.2382,0.0008,1e-04,0.0126,0.0005,0.0,0.0076,0.0004,0.0,0.0056,MARCS
1636148068921376768,Gaia DR3 3373245530209928576,3373245530209928576,404521103,2016.0,93.29216464872499,0.012289939,17.601668927941358,0.01079415,20.01455765594189,0.013624305,1469.0333,210.66545,119.9483039311093,0.015862891,-173.18296564966028,0.012093061,0.00937752,-0.006273802,-0.1805962,0.10941754,-0.32454222,0.07192002,-0.38226628,0.13397604,0.09033968,0.010098759,232,232,232,0,0.90859145,379.22986,0.05472054,3.1857471,31,False,1.3361757,,,,,,,,27,16,0.02213863,27,11,0,0.04582392,175.86078,0,0,1.0414551,,,,,,,,,False,228,229890.45657551254,69.79222,3293.9268,12.283565,25,63758.18198869385,71.90459,886.7053,13.327203,24,245903.5134258252,137.10225,1793.5775,11.270984,1.3469968,0,1,0,0,0,2.056219,1.0436382,1.0125809,-67.849915,0.94841945,1,13,3,11,34.10552,2.021369,0.017262165,964.7232,9.246361,3700.0,4.5,0.0,440,5.902252,5.965271,9,10.817602,0.011550185,10,,NOT_AVAILABLE,192.97148959228932,-0.17806109218774818,93.1540597304598,-5.801574412308104,False,False,0,True,True,False,False,False,False,True,False,1.3750302e-13,6.868207e-13,0.99648726,,,,,,,,,,,,,,,,,,,,,,
1636148068921376768,Gaia DR3 3378123861436589952,3378123861436589952,640857590,2016.0,101.22923765852144,0.07930391,20.8606899982996,0.068568476,20.01976978212424,0.08454051,236.80682,91.88529,91.43553012935918,0.10351817,9.080270194424724,0.084805466,-0.08040025,-0.0053294357,-0.13886642,0.04599604,-0.1824265,0.062205363,-0.26941207,-0.008091246,0.12312974,-0.20484392,217,217,210,7,44.126823,8179.9297,0.7137977,388.86246,31,False,1.5821042,,,,,,,,25,16,0.14901227,25,9,2,0.038435727,6.291908,0,0,3.8389935,,,,,,,,,False,210,27983849.58420467,7393.2915,3785.0327,7.0700984,22,15807245.302250791,6744.324,2343.785,7.3414016,22,17749960.115942646,17071.662,1039.7324,6.6249022,1.1991633,0,0,0,0,0,0.7164993,0.27130318,0.44519615,-16.73212,2.1815686,1,18,0,15,449.42047,84.93566,0.0,967.2308,18.707932,6000.0,4.0,-0.75,222,,,,6.4560566,0.005126089,18,,NOT_AVAILABLE,193.52614323915165,7.973475892372148,100.49214553097983,-2.1705273043287887,False,False,2,True,True,False,False,False,True,True,False,1.160294e-13,5.7956103e-13,0.99861324,5949.89,5948.094,5951.612,3.9933,3.987,3.9979,-0.5816,-0.6022,-0.5478,49.8395,49.5475,50.1348,1e-04,0.0,0.0003,1e-04,0.0,0.0003,1e-04,0.0,0.0002,MARCS
1636148068921376768,Gaia DR3 888935295425883392,888935295425883392,517090426,2016.0,104.40737096055055,0.21764848,30.49990253434605,0.20640221,20.02005049603782,0.23877949,83.84326,77.965065,1.92603348571029,0.2990099,-77.94127312212551,0.2625712,-0.24298874,-0.043027576,-0.074031785,0.30003655,-0.17367467,0.29081127,-0.3303164,0.23261578,0.07891383,-0.35243165,185,185,185,0,142.3747,75627.3,1.8130249,3211.6577,31,False,1.4761344,,,,,,,,21,15,0.4663837,22,6,0,0.037215427,10.760122,0,0,14.701723,,,,,,,,,False,182,5222012.372437489,3881.9001,1345.2207,8.892772,19,2367434.635111126,3413.5513,693.5401,9.402847,20,4087788.2167190276,4054.9495,1008.09845,8.219174,1.2361562,0,0,0,0,0,1.1836729,0.51007557,0.67359734,-14.047443,0.32260972,1,9,5,8,152.87935,4.263233,3.690629e-08,951.5654,2.5904217,5000.0,5.0,0.25,444,,,,7.974616,0.007129698,2,,VARIABLE,185.81445238462078,14.604352774167294,102.49347528727824,7.683345691722625,False,False,0,True,True,False,True,False,True,True,False,1.0885115e-13,5.43706e-13,0.99932396,4753.1284,4751.91,4754.444,4.3865,4.3798,4.3934,0.0961,0.0892,0.1025,47.1059,46.5465,47.6137,1e-04,0.0,0.0002,0.0,0.0,0.0002,0.0,0.0,1e-04,MARCS
1636148068921376768,Gaia DR3 3362527426434825088,3362527426434825088,1382880927,2016.0,111.13428950987833,0.051640823,18.60913300614015,0.046242267,20.022664908610462,0.050602943,395.68182,60.98386,45.126775647432616,0.06006783,-41.01956998772386,0.050264217,-0.007756086,-0.027195772,-0.46584296,0.08839631,-0.28150916,0.066983886,-0.5150601,0.16384508,0.025707386,-0.08026484,195,195,195,0,2.7167828,1923.139,0.37711495,85.65962,95,False,,1.273128,0.012254028,0.10271975,-0.2435235,-0.017107705,-0.23066926,0.29426047,22,15,0.08865746,24,12,0,0.07080609,112.03663,0,0,1.1410983,,,,,,,,,False,104,169025.31523634752,260.1201,649.79724,12.617488,0,,,,,0,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,199.6254850462729,15.479911061777685,110.01692984011511,-3.3735565646508268,False,False,0,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
1636148068921376768,Gaia DR3 3441605161696282624,3441605161696282624,755164638,2016.0,85.28741197398092,0.02113039,26.90045417943594,0.01609566,20.025085932439797,0.022427348,892.8869,150.10744,71.32794063223452,0.027650725,-132.07789177658893,0.01525264,-0.28533322,0.09706184,-0.1512649,0.17148684,-0.2639948,0.19588353,-0.8032627,-0.048601598,0.35701331,-0.37416053,506,0,504,2,3.05647,576.37115,0.057180773,1.738196,31,False,1.2846826,,,,,,,,59,18,0.039942794,61,44,0,0.0250385,1.3898791,0,0,1.0976055,0.4962322,0.6830716,0.43935522,0.33409157,-1.3869342,8.729295,2.4856694,16.424849,False,499,33281.943935450385,9.936446,3349.4817,14.381845,58,6843.630854675195,10.833688,631.6991,15.750326,57,40398.62168389477,21.070982,1917.2633,13.231979,1.4194559,0,0,0,0,0,2.5183468,1.3684807,1.1498661,-23.895178,2.2639823,2,24,13,9,12.094794,,,795.4556,,3300.0,4.5,-0.5,101,,,,12.665171,0.039304968,11,,NOT_AVAILABLE,181.2146980813376,-1.9089782355954097,85.79032684259307,3.53001187815372,False,False,0,True,True,False,False,False,False,True,False,1.7308995e-13,8.6457566e-13,0.99296397,,,,,,,,,,,,,,,,,,,,,,
1636148068921376768,Gaia DR3 593819567004974720,593819567004974720,1587015387,2016.0,139.8192492334476,0.019896979,12.665291000271623,0.016701408,20.025811001544096,0.025866322,774.20404,87.48822,-17.422517950998227,0.02597027,85.73589792638941,0.020091547,-0.39433238,-0.09714738,-0.14896359,0.18665463,0.07065166,0.121398866,-0.46846864,0.4820983,-0.31554663,-0.34346676,277,0,275,2,0.13814662,262.27097,0.0,0.0,31,False,1.2720261,,,,,,,,32,16,0.04004176,35,19,0,0.013571585,118.232,0,0,1.004714,0.038668804,0.44186687,0.10309986,0.43349797,-74.22988,26.600706,-15.935964,-32.247887,False,279,32634.128885765247,16.242352,2009.1997,14.403187,31,6166.163243831682,18.845192,327.20087,15.863504,31,40633.093685714026,48.41895,839.1982,13.225696,1.4340587,0,0,0,0,0,2.6378088,1.4603176,1.1774912,-22.455107,2.6438127,2,13,1,11,9.924012,,,934.92303,,3500.0,4.5,0.0,101,,,,12.597353,0.04455256,15,,NOT_AVAILABLE,218.23438887485324,38.467110187515516,138.27328733144827,-2.822299022236631,False,False,0,True,True,False,False,False,False,True,False,1.160294e-13,5.7956103e-13,0.99861324,,,,,,,,,,,,,,,,,,,,,,
1636148068921376768,Gaia DR3 163804078373452288,163804078373452288,241187246,2016.0,60.415187063238754,0.086931504,28.316715017346052,0.058013096,20.029804243932226,0.11476791,174.52443,128.14693,117.1981306250879,0.124888696,-51.82887683402851,0.08933273,0.5122657,-0.15918022,-0.03194954,0.28824586,-0.19124094,-0.013765185,0.6222739,0.20001602,-0.3585582,0.06283898,535,0,532,3,-0.8147167,680.73315,0.35514617,3.7715297,31,False,1.1740791,,,,,,,,62,18,0.17373475,66,13,0,0.020189013,141.21149,1,0,0.9743832,0.20922646,0.65042245,0.2922112,0.24133739,147.90726,-17.302399,25.064829,-34.04638,False,551,2201.317476427437,1.8555862,1186.3192,17.33066,55,159.85083200042945,5.367057,29.783705,19.829254,58,3451.0025123289292,11.5052595,299.94998,15.903032,1.6403147,0,5,0,7,0,3.9262218,2.4985943,1.4276276,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,166.07901098961722,-18.207753648759496,63.998639079092165,7.508814002908771,False,False,0,True,False,False,False,False,False,True,False,1.0203171e-13,5.5000983e-11,0.9999991,,,,,,,,,,,,,,,,,,,,,,
1636148068921376768,Gaia DR3 63181034805012224,63181034805012224,826383461,2016.0,56.091542997653995,0.016043082,20.499064677669264,0.011941488,20.031139820262002,0.018474407,1084.2643,78.44341,1.1982385222631056,0.020811563,-78.43425714375017,0.01373029,0.041222025,0.11982191,-0.20013505,0.024122884,-0.38087386,-0.037895016,0.22219753,0.18076564,-0.045035914,0.09226281,239,239,237,2,3.1255467,604.5696,0.09036729,10.367133,31,True,1.5129248,,,,,,,,27,16,0.029197685,32,10,2,0.04016243,99.94289,23,0,1.1470499,,,,,,,,,False,260,4276701.855229644,821.3991,5206.6064,9.109594,29,2151413.058322947,4607.7944,466.90735,9.506733,29,3235691.09431628,23208.145,139.4205,8.472978,1.2596399,0,29,0,29,0,1.0337553,0.3971386,0.6366167,-32.904102,0.5546579,1,4,3,4,68.15183,1.2628549,0.04660779,372.46936,2.0716896,5250.0,4.5,0.0,222,,,,,,,,NOT_AVAILABLE,168.7805446820728,-26.595595704050872,58.49451800953419,0.6917044443485336,False,False,0,True,True,False,False,False,True,True,False,1.1064666e-13,5.526745e-13,0.99914616,5166.3164,5160.506,5175.2017,4.5072,4.505,4.5123,0.0454,0.0232,0.0598,49.559,49.4043,49.7224,0.0021,0.0005,0.0075,0.0017,0.0004,0.0061,0.0009,0.0002,0.0032,MARCS
1636148068921376768,Gaia DR3 3299556814963128704,3299556814963128704,1636367899,2016.0,66.0382596557757,0.024433857,9.082712361907735,0.017377747,20.031495668289097,0.02742043,730.5318,53.37619,-34.926087610934644,0.029901534,-40.36317933626867,0.02357409,0.17608334,0.16734168,-0.20835112,0.07819926,-0.16718717,0.007050915,0.0072366036,0.17899254,0.1396011,0.20263104,251,0,249,2,3.3788128,317.43192,0.09714048,2.8692884,31,False,1.2641989,,,,,,,,29,17,0.042993277,31,12,0,0.020063218,99.366684,0,0,1.1553531,0.15648189,0.36242348,0.23712128,0.4808858,-68.59128,-16.423649,-47.527008,33.70613,False,233,29097.567019344893,19.23148,1513.0176,14.527725,30,5154.588901054698,22.701832,227.05608,16.058058,30,36913.61054001777,37.960766,972.4148,13.329929,1.4457635,0,0,0,1,0,2.7281284,1.5303326,1.1977959,-9.262874,3.375178,2,15,2,13,10.254637,,,884.1449,,3200.0,4.0,-1.0,111,,,,12.739345,0.06644438,16,,NOT_AVAILABLE,185.49733958298268,-27.04680526447747,65.76033121172495,-12.362955683542559,False,False,0,True,True,False,False,False,False,True,False,1.1961469e-13,5.974694e-13,0.9982583,,,,,,,,,,,,,,,,,,,,,,
1636148068921376768,Gaia DR3 633815264538126208,633815264538126208,519529417,2016.0,144.60009839526424,0.019122487,19.98053398859155,0.014906152,20.03566726560345,0.023097193,867.4503,177.5738,-176.32828853591116,0.023701496,-20.994976092419453,0.017031023,-0.3412634,-0.27106166,-0.1634024,0.14190587,0.30466872,0.19430125,-0.6715145,0.36053658,-0.18318643,-0.32424214,381,354,380,1,5.227818,975.7489,0.12677713,17.717148,31,True,1.2935584,,,,,,,,44,17,0.0357575,48,31,0,0.020624364,162.15935,0,0,1.1958996,,,,,,,,,False,395,143006.5381756792,63.587803,2248.9617,12.798977,47,31303.713781387163,29.830498,1049.3862,14.099552,47,170223.99916594182,99.478745,1711.1595,11.670343,1.4092202,0,0,0,0,0,2.4292088,1.3005753,1.1286335,23.103106,0.5697708,1,23,5,14,39.001854,-1.4799098,0.9299111,902.9554,10.50086,3600.0,4.5,0.0,101,7.209619,8.688872,17,11.127363,0.015235423,18,,NOT_AVAILABLE,211.3956863577998,45.452055253287845,140.32616158731366,5.563557371428074,False,False,0,True,True,False,False,False,False,True,False,1.0819808e-13,5.4044394e-13,0.9993886,,,,,,,,,,,,,,,,,,,,,,
1636148068921376768,Gaia DR3 744275161897052928,744275161897052928,1626108114,2016.0,147.88314759048328,0.037155908,29.271122402054548,0.029785994,20.03614070778074,0.04834943,414.40283,82.645035,32.81927906358098,0.047850356,-75.8491665780648,0.036131408,-0.38070062,-0.03707283,-0.015162112,0.09019586,-0.0107452795,-0.019574508,-0.54733276,0.2921898,0.048473872,-0.17680573,376,0,373,3,-1.2780114,398.61346,0.0,0.0,31,False,1.216884,,,,,,,,43,20,0.06825952,47,26,0,0.0038275204,119.82615,0,0,0.9523724,0.025339188,0.5314955,0.035173338,0.14914082,152.5039,21.580284,-48.672726,-30.152641,False,380,7495.943816612916,4.831056,1551.616,16.000301,44,871.6570239728512,13.703971,63.606163,17.987679,42,10649.93854866656,12.619605,843.9201,14.679527,1.537044,0,1,0,1,0,3.3081512,1.9873772,1.3207741,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,198.9275466480455,50.54641028983462,139.9981366670693,15.314757731387889,False,False,0,True,False,False,False,False,False,True,False,1.02203504e-13,5.1050136e-13,0.99998206,,,,,,,,,,,,,,,,,,,,,,
1636148068921376768,Gaia DR3 653489998622345856,653489998622345856,260837644,2016.0,121.47902288689362,0.34836674,13.823176432405834,0.2584589,20.036674254997195,0.37802964,53.00292,186.93958,140.4679620324995,0.43262115,-123.34973264195763,0.324022,-0.2573361,-0.10354513,0.028264074,0.11976802,0.023609275,0.07706579,0.372728,0.06705495,0.032178007,-0.37728387,293,0,292,1,99.4941,19322.477,2.9868531,645.97534,31,False,1.2094355,,,,,,,,34,17,0.6381746,48,8,0,0.1537866,56.899113,0,0,7.313497,0.091766514,0.49225304,0.19320634,0.3757512,-113.50245,19.689947,-16.709686,-41.356598,False,291,6681.213142029615,49.821434,134.1032,16.125229,43,788.5606776660205,11.649979,67.68774,18.096455,41,10980.552124799393,11.882992,924.0562,14.646335,1.7615234,0,1,0,0,0,3.45012,1.9712257,1.4788942,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,208.50320890974888,22.635938274186632,120.67516433613865,-6.32690268290198,False,False,0,True,False,False,False,False,False,True,False,1.0210669e-13,5.100178e-13,0.99999166,,,,,,,,,,,,,,,,,,,,,,
1636148068921376768,Gaia DR3 164084797434486016,164084797434486016,1401681282,2016.0,62.46908670095042,0.032786164,28.915150031843595,0.02105475,20.037214074398616,0.03835283,522.4442,230.10707,106.02561705702274,0.056903094,-204.2249572723088,0.033906642,0.23942506,0.024551362,0.0795537,-0.06371635,0.05376363,-0.17899494,0.42487457,-0.005687447,-0.085355215,-0.05284198,381,0,381,0,1.8896208,452.97873,0.08181175,1.1172765,31,False,1.2459829,,,,,,,,43,18,0.07885633,45,8,0,0.022439174,155.06787,0,0,1.0687863,0.16511768,0.56539917,0.16422752,0.17893142,156.37204,-13.419604,33.83319,43.378056,False,385,12188.162748704932,6.2860084,1938.9352,15.472521,42,1866.6605617718174,10.791725,172.97147,17.16088,41,16149.535600328602,13.985703,1154.7174,14.227495,1.4781716,0,1,0,0,0,2.933384,1.6883583,1.2450256,74.6237,5.339145,2,14,2,11,5.1237993,,,891.0958,,3400.0,4.5,0.0,101,,,,13.585456,0.0920733,17,,NOT_AVAILABLE,166.99106867609018,-16.519215033917863,65.8997689103591,7.750225504868961,False,False,0,True,False,False,False,False,False,True,False,1.2558453e-13,6.272884e-13,0.9976672,,,,,,,,,,,,,,,,,,,,,,
1636148068921376768,Gaia DR3 146712303261194624,146712303261194624,338129716,2016.0,70.04626127763612,0.09316378,23.420438935989633,0.05267057,20.04024061578082,0.10499906,190.86115,101.240845,90.27292881606306,0.12439973,-45.831296017196145,0.08371211,0.11281148,0.027395757,-0.08088502,0.1614574,0.033859577,0.12777601,0.030967915,0.15700392,-0.023657825,0.0037352105,285,0,285,0,1.2163705,403.6504,0.36636338,3.6024282,31,False,1.1859993,,,,,,,,34,16,0.17275167,34,11,0,0.01833134,134.59756,1,0,1.0506284,0.068208,0.5028551,0.058780715,0.30793443,-9.111688,-6.3946166,-22.649336,36.4411,False,284,2758.8937256080008,8.487362,325.05905,17.08553,29,207.4683082776369,9.795489,21.179985,19.546164,29,4279.785146444572,37.010418,115.63731,15.66934,1.6264684,0,1,0,1,0,3.8768234,2.4606342,1.4161892,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,175.9628209610512,-15.14780615214111,71.74669966760175,1.2367074804835934,False,False,0,True,False,False,False,False,False,True,False,1.0204348e-13,5.674006e-11,0.9999979,,,,,,,,,,,,,,,,,,,,,,
1636148068921376768,Gaia DR3 3385734333029182592,3385734333029182592,967053232,2016.0,100.75710311689097,0.08856858,26.969605138588324,0.0889924,20.04107292912161,0.11850529,169.11543,106.84976,-2.8644099204954516,0.120432675,-106.81136177305152,0.09356686,-0.2127299,0.14298767,-0.04375228,0.047821518,-0.56661236,-0.17179225,-0.23537013,0.35549426,0.13079564,-0.18753605,197,0,197,0,1.9201248,311.43826,0.41355234,3.9667983,31,False,1.1803575,,,,,,,,23,16,0.17361164,23,8,0,0.051126756,8.0844145,0,0,1.0977777,0.331093,0.2705991,0.5163037,0.8555206,-72.744484,23.129257,-27.408388,-41.454018,False,187,2665.494338254194,3.2018511,832.4854,17.122923,22,198.72096622032439,7.3283405,27.116776,19.592934,22,4110.650745783092,15.161667,271.1213,15.7131195,1.6167251,0,3,0,3,0,3.8798141,2.4700108,1.4098034,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,187.76209383196542,10.235708752511751,99.59783869674743,3.88801895291824,False,False,0,True,False,False,False,False,False,True,False,1.02041476e-13,5.644255e-11,0.99999815,,,,,,,,,,,,,,,,,,,,,,
1636148068921376768,Gaia DR3 3853655287462788480,3853655287462788480,178934782,2016.0,148.48309386277325,0.019191654,7.536179123298832,0.01662208,20.042155492355846,0.02166649,925.03015,42.023697,-38.31671690020983,0.022907678,17.257470775938295,0.017698282,-0.28758812,-0.16899915,-0.09468147,-0.109977156,0.17230019,-0.04808377,-0.46222302,0.21428739,-0.15154505,-0.47857934,280,0,280,0,1.9917333,308.89304,0.027895281,0.3563596,31,False,1.2652558,,,,,,,,32,13,0.035274092,40,23,0,0.008608793,22.94714,0,2,1.0848731,0.21765187,0.5367296,0.31305683,0.25177792,22.186451,28.542824,20.66613,-36.14361,False,320,40233.321890884654,23.264544,1729.3837,14.175902,34,7167.813958110647,19.373829,369.97406,15.700075,35,51079.43777467101,69.25579,737.54755,12.977281,1.4477366,0,1,0,0,0,2.7227945,1.5241728,1.1986217,3.5289495,1.7647178,2,19,0,13,16.351366,,,893.6939,,3300.0,3.5,-1.0,111,,,,12.397016,0.029541295,19,,NOT_AVAILABLE,229.50841180117425,43.66473572029453,148.021991542763,-4.922717188460769,False,False,0,True,True,False,False,False,False,True,False,1.0202512e-11,5.0961034e-11,1.0000273e-06,,,,,,,,,,,,,,,,,,,,,,
